title,box_off_num
그 강아지 그 고양이,430047.38
화려한 외출,105843.74
오하이오 삿포로,-5810.455
마이 리틀 히어로,2925785.8
박수건달,6508952.5
배꼽,251483.69
나가요 미스콜,94805.43
우아한 거짓말,1397801.9
미스터 컴퍼니,-26395.943
우리별 일호와 얼룩소,27435.656
찌라시: 위험한 소문,2296082.8
조선미녀삼총사,1387582.2
만찬,271694.44
한 번도 안 해본 여자,54128.44
살인자,96188.76
  이것이 우리의 끝이다,56892.027
그댄 나의 뱀파이어,6817.1562
황제를 위하여,489198.03
레디액션! 폭력영화,89761.8
스퀴시랜드,45683.27
우는 남자,3234476.0
하이힐,2129786.5
도희야,768386.56
표적,1822238.6
10분,6869.8057
메이크 유어 무브,1626224.0
카토 프로젝트,-14103.669
녀녀녀,661543.2
방황하는 칼날,1581907.9
바리새인,-3127.3994
욕망의 독: 중독,46806.223
설계,43468.973
레쓰링,-59813.645
원 컷 - 어느 친절한 살인자의 기록,-102307.48
픽업 아티스트,-68144.82
옹녀뎐,-11429.912
왓니껴,1062918.8
족구왕,103754.04
내 연애의 기억,-21740.074
바세코의 아이들,-23683.773
명량,11747158.0
군도: 민란의 시대,9523887.0
산타바바라,38974.754
나는 야한 여자가 좋다,-28798.793
숙희,-11429.912
더 테너 리리코 스핀토,4057475.8
기술자들,1676248.9
신화 라이브 3D 더 레전드 컨티뉴스,440480.88
악사들,255663.9
울언니,-88312.36
정사: 위험한 성적유희,276550.9
레디액션 청춘,2291133.5
"제자, 옥한흠",-94921.125
환상,-11861.334
위층여자,335724.62
가자! 장미여관으로 3 - 방황,85097.68
나는 야한 여자가 좋다 3,-28798.793
스물,1464626.4
그라운드의 이방인,533898.0
살인의뢰,2307900.5
살인캠프,17338.326
헬머니,1013366.9
조류인간,66563.38
최강전사 미니특공대 : 새로운 악당의 습격,-25410.926
생각보다 맑은,-11975.176
고양이 장례식,233225.25
설해,62995.465
나의 절친 악당들,687113.06
연평해전,3961166.8
극비수사,537771.0
성난 화가,7643.226
은밀한 유혹,2039202.8
혜경궁 홍씨,825748.25
무뢰한,2123183.8
간신,3719473.5
연애의 맛,392495.66
잡식가족의 딜레마,4498.8394
플랑크 상수,-34476.76
장수상회,1019344.25
파울볼,-1920.1808
춘희막이,-7096.11
덫: 치명적인 유혹,93172.56
션샤인 러브,76435.89
사도,3065831.5
돼지 같은 여자,-17208.656
사랑이 이긴다,10233.775
슈퍼레이서 엔지,136760.44
제 7기사단,118765.81
고백,47371.215
미쓰 와이프,3113334.8
위로공단,66049.375
베테랑,6811498.5
악인은 살아 있다,59321.914
쓰리 썸머 나잇,669547.94
마돈나,628981.4
"나의 아들, 나의 어머니",216330.03
슬픈남자,-53924.47
타이밍,16639.594
타투,103161.95
어떤이의 꿈,-65784.484
해에게서 소년에게,42637.83
울보 권투부,219333.28
어떤살인,213597.75
말하지 못한 비밀,-63218.258
조선안방 스캔들-칠거지악 2,-56381.86
